,test,test
515,pudukkottai  15190,MH_Pune
516,pulwama 2085364,WB_Purba Bardhaman
517,punch 2983134,WB_Purba Medinipur
518,pune  1797336,OR_Puri
519,purba bardhaman 808023,BR_Purnia
520,purba champaran 49159,WB_Purulia
521,purba medinipur 1431920,UP_Rae Bareli
522,purbi singhbhum 2452921,KA_Raichur
523,puri 1817158,MH_Raigad
524,purnia 100082,CT_Raigarh
525,puruliya 307474,CT_Raipur
526,rae bareilly 1321157,MP_Raisen
527,raichur  1430830,TG_Rajanna Sircilla
528,raigad 2019683,MP_Rajgarh
529,raigarh 2286310,GJ_Rajkot
530,raipur 2295914,CT_Rajnandgaon
531,raisen 1815223,JK_Rajouri
532,rajanna sircilla 28172781,RJ_Rajsamand
533,rajauri 544279,KA_Ramanagara
534,rajgarh 1833306,TN_Ramanathapuram
535,rajkot 1815245,JK_Ramban
536,rajnandgaon 2341800,JH_Ramgarh
537,rajsamand 596693,UP_Rampur
538,ramanagara  427679,JH_Ranchi
539,ramanathapuram  15191,TG_Ranga Reddy
540,ramban 2321939,TN_Ranipet
541,ramgarh 2663612,MP_Ratlam
542,rampur 1815331,MH_Ratnagiri
543,ranchi 1947380,OR_Rayagada
544,rangareddy 15388,JK_Reasi
545,ratlam 2299164,MP_Rewa
546,ratnagiri 1771768,HR_Rewari
547,rayagada 2577997,ML_Ribhoi
548,reasi 2321956,HR_Rohtak
549,rewa 526862,BR_Rohtas
550,rewari 2301759,UT_Rudraprayag
551,ri-bhoi 1884672,PB_Rupnagar
552,rohtak 967388,PB_S.A.S. Nagar
553,rohtas 100085,AP_S.P.S. Nellore
554,rudraprayag 1805059,GJ_Sabarkantha
555,rupnagar 196508,MP_Sagar
556,sabar kantha  1772856,UP_Saharanpur
557,sagar 2085421,BR_Saharsa
558,saharanpur 1797326,JH_Sahibganj
559,saharsa 100120,MZ_Saiha
560,sahibganj 767878,TN_Salem
561,sahibzada ajit singh nagar 2037672,BR_Samastipur
562,saiha 1821714,JK_Samba
563,sait kibir nagar 1945445,OR_Sambalpur
564,salem  15192,UP_Sambhal
565,samastipur 100117,TG_Sangareddy
566,samba 1117086,MH_Sangli
567,sambalpur 1267306,PB_Sangrur
568,sambhal 3000436,UP_Sant Kabir Nagar
569,sangareddy 28169753,JH_Saraikela-Kharsawan
570,sangli  1425060,BR_Saran
571,sangrur 1945515,MH_Satara
572,sant ravidas nagar 127533,MP_Satna
573,saran 100146,RJ_Sawai Madhopur
574,satara 1135612,MP_Sehore
575,satna 2577924,MN_Senapati
576,sawai madhopur 1507166,MP_Seoni
577,sehore 2299029,MZ_Serchhip
578,senapati 2301706,DL_Shahdara
579,seoni 2221184,MP_Shahdol
580,sepahijala 16086076,PB_Shahid Bhagat Singh Nagar
581,seraikela kharsawan 2362658,UP_Shahjahanpur
582,serchhip 2086190,MP_Shajapur
583,shahdara 83486,UP_Shamli
584,shahdol 2085464,BR_Sheikhpura
585,shaheed bhagat singh nagar 202710,BR_Sheohar
586,shahjahanpur 1812557,MP_Sheopur
587,shajapur 2449803,AR_Shi Yomi
588,shamli 2999938,HP_Shimla
589,sharawasti 1945458,KA_Shivamogga
590,sheikhpura 100093,MP_Shivpuri
591,sheohar 100095,JK_Shopiyan
592,sheopur 620105,UP_Shrawasti
593,shi yomi 63563625,AR_Siang
594,shimla 1921404,UP_Siddharthnagar
595,shimoga  2981389,TG_Siddipet
596,shivpuri 2299042,MP_Sidhi
597,shopian 2073646,RJ_Sikar
598,siang 18642331,JH_Simdega
599,siddharth nagar 1815339,MH_Sindhudurg
600,siddipet 28169756,MP_Singrauli
601,sidhi 2449793,TR_Sipahijala
602,sikar 12945777,HP_Sirmaur
603,simdega 2597889,RJ_Sirohi
604,sindhudurg 768332,HR_Sirsa
605,singrauli 2668638,BR_Sitamarhi
606,sirmaur 654331,UP_Sitapur
607,sirohi 205719,TN_Sivaganga
608,sirsa 526101,AS_Sivasagar
609,sitamarhi 100144,BR_Siwan
610,sitapur 1812539,HP_Solan
611,sivagangai  15195,MH_Solapur
612,sivasagar 42768,UP_Sonbhadra
613,siwan 100131,HR_Sonipat
614,solan 2980937,AS_Sonitpur
615,solapur 1797263,WB_South 24 Parganas
616,sonapur 1473957,AN_South Andaman
617,sonbhadra 607798,DL_South Delhi
618,sonipat 2241746,DL_South East Delhi
619,sonitpur 42765,ML_South Garo Hills
620,south 24 parganas 2308319,GA_South Goa
621,south delhi 2061938,AS_South Salmara Mankachar
622,south east delhi 25553535,SK_South Sikkim
623,south garo hills 2329228,TR_South Tripura
624,south goa 108244,DL_South West Delhi
625,south salmara-mankachar 24907599,ML_South West Garo Hills
626,south sikkim  1805051,ML_South West Khasi Hills
627,south tripura 1822159,PB_Sri Muktsar Sahib
628,south west delhi 2379189,AP_Srikakulam
629,south west garo hills 15961576,JK_Srinagar
630,south west khasi hills 15923741,OR_Subarnapur
631,sri ganganagar 1419696,CT_Sukma
632,sri potti sriramulu nellore 15383,UP_Sultanpur
633,srikakulam 15395,OR_Sundargarh
634,srinagar 1506029,BR_Supaul
635,sukma 16933590,CT_Surajpur
636,sultanpur 1356154,GJ_Surat
637,sundargarh 2296047,GJ_Surendranagar
638,supaul 100139,CT_Surguja
639,surajpur 16938031,TG_Suryapet
640,surat 1797317,MN_Tamenglong
641,surendranagar  237535,GJ_Tapi
642,surguja 1805075,PB_Tarn Taran
643,suryapet 28169770,AR_Tawang
644,tamenglong 2301717,UT_Tehri Garhwal
645,tapi  670165,MN_Tengnoupal
646,tarn taran 2298993,TN_Tenkasi
647,tawang  15449,MH_Thane
648,tehri garhwal 1357107,TN_Thanjavur
649,tengnoupal 28419388,TN_Theni
650,thane 943099,TN_Thiruvallur
651,thanjavur  15194,KL_Thiruvananthapuram
652,the dangs 1135616,TN_Thiruvarur
653,the nilgiris  15188,TN_Thoothukkudi
654,theni  15196,MN_Thoubal
655,thiruvallur  15204,KL_Thrissur
656,thiruvananthapuram 162612,MP_Tikamgarh
657,thiruvarur  15197,AS_Tinsukia
658,thoothukudi  15198,AR_Tirap
659,thoubal 2086198,TN_Tiruchirappalli
660,thrissur 2429655,TN_Tirunelveli
661,tikamgarh 2449760,TN_Tirupathur
662,tinsukia 42756,TN_Tiruppur
663,tirap 15448,TN_Tiruvannamalai
664,tiruchchirappalli  15201,RJ_Tonk
665,tirunelveli kattabo 15200,NL_Tuensang
666,tiruppur 15202,KA_Tumakuru
667,tiruvanamalai  15207,RJ_Udaipur
668,tonk 915880,AS_Udalguri
669,tuensang 2571393,UT_Udham Singh Nagar
670,tumkur  1301635,JK_Udhampur
671,udaipur 1321577,KA_Udupi
672,udalguri 321998,MP_Ujjain
673,udham singh nagar 1805082,MN_Ukhrul
674,udhampur 1947311,MP_Umaria
675,udupi  1483337,HP_Una
676,ujjain 892641,UP_Unnao
